Instrument,Company Event Type,Date
A,EarningsReleases,2000-02-17 22:00:00
A,EarningsReleases,2000-05-16 21:00:00
A,EarningsReleases,2000-08-17 20:00:00
A,EarningsReleases,2000-11-20 21:00:00
A,EarningsReleases,2001-02-20 21:00:00
A,EarningsReleases,2001-05-17 20:00:00
A,EarningsReleases,2001-08-20 20:30:00
A,EarningsReleases,2001-11-15 21:00:00
A,EarningsReleases,2002-02-19 21:00:00
A,EarningsReleases,2002-05-16 20:00:00
A,EarningsReleases,2002-08-19 20:00:00
A,EarningsReleases,2002-11-18 21:00:00
A,EarningsReleases,2003-02-21 13:30:00
A,EarningsReleases,2003-05-19 20:00:00
A,EarningsReleases,2003-08-18 20:00:00
A,EarningsReleases,2003-11-17 21:00:00
A,EarningsReleases,2004-02-17 21:00:00
A,EarningsReleases,2004-05-17 20:00:00
A,EarningsReleases,2004-08-12 20:00:00
A,EarningsReleases,2004-11-11 21:00:00
A,EarningsReleases,2005-02-14 21:00:00
A,EarningsReleases,2005-05-16 20:00:00
A,EarningsReleases,2005-08-15 12:30:00
A,EarningsReleases,2005-11-14 21:00:00
A,EarningsReleases,2006-02-13 13:30:00
A,EarningsReleases,2006-05-15 20:00:00
A,EarningsReleases,2006-08-14 20:00:00
A,EarningsReleases,2006-11-14 13:30:00
A,EarningsReleases,2007-02-15 21:00:00
A,EarningsReleases,2007-05-14 12:00:00
A,EarningsReleases,2007-08-14 20:00:00
A,EarningsReleases,2007-11-15 21:00:00
A,EarningsReleases,2008-02-13 21:00:00
A,EarningsReleases,2008-05-14 20:00:00
A,EarningsReleases,2008-08-14 20:00:00
A,EarningsReleases,2008-11-14 13:30:00
A,EarningsReleases,2009-02-17 12:00:00
A,EarningsReleases,2009-05-14 20:00:00
A,EarningsReleases,2009-08-17 20:00:00
A,EarningsReleases,2009-11-13 13:30:00
A,EarningsReleases,2010-02-12 13:30:00
A,EarningsReleases,2010-05-17 20:00:00
A,EarningsReleases,2010-08-16 20:00:00
A,EarningsReleases,2010-11-12 13:30:00
A,EarningsReleases,2011-02-14 21:00:00
A,EarningsReleases,2011-05-13 12:00:00
A,EarningsReleases,2011-08-15 20:00:00
A,EarningsReleases,2011-11-15 21:00:00
A,EarningsReleases,2012-02-17 00:00:00
A,EarningsReleases,2012-05-14 20:00:00
A,EarningsReleases,2012-08-15 20:00:00
A,EarningsReleases,2012-11-19 21:00:00
A,EarningsReleases,2013-02-14 21:00:00
A,EarningsReleases,2013-05-14 20:00:00
A,EarningsReleases,2013-08-14 20:00:00
A,EarningsReleases,2013-11-14 21:00:00
A,EarningsReleases,2014-02-13 21:00:00
A,EarningsReleases,2014-05-14 20:00:00
A,EarningsReleases,2014-08-14 20:00:00
A,EarningsReleases,2014-11-17 21:00:00
A,EarningsReleases,2015-02-17 21:00:00
A,EarningsReleases,2015-05-18 20:00:00
A,EarningsReleases,2015-08-17 20:00:00
A,EarningsReleases,2015-11-16 21:00:00
A,EarningsReleases,2016-02-16 21:00:00
A,EarningsReleases,2016-05-16 20:00:00
A,EarningsReleases,2016-08-17 20:00:00
A,EarningsReleases,2016-11-15 21:00:00
A,EarningsReleases,2017-02-14 21:00:00
A,EarningsReleases,2017-05-22 20:00:00
A,EarningsReleases,2017-08-15 20:00:00
A,EarningsReleases,2017-11-20 21:00:00
A,EarningsReleases,2018-02-14 21:00:00
A,EarningsReleases,2018-05-14 20:05:00
A,EarningsReleases,2018-08-14 20:05:00
