,date,epsActual,epsEstimated,eps_surprise,ticker
133,1993-01-22,0.38,0.38,0.0,VZ
132,1993-04-20,0.43,0.43,0.0,VZ
131,1993-07-20,0.46,0.43,0.030000000000000027,VZ
130,1993-10-19,0.44,0.43,0.010000000000000009,VZ
129,1994-01-21,0.39,0.41,-0.019999999999999962,VZ
128,1994-04-20,0.46,0.43,0.030000000000000027,VZ
127,1994-07-20,0.48,0.46,0.019999999999999962,VZ
126,1994-10-19,0.46,0.45,0.010000000000000009,VZ
125,1995-01-23,0.38,0.4,-0.020000000000000018,VZ
124,1995-04-20,0.48,0.48,0.0,VZ
123,1995-07-20,0.51,0.5,0.010000000000000009,VZ
122,1995-10-19,0.51,0.49,0.020000000000000018,VZ
121,1996-01-23,0.45,0.44,0.010000000000000009,VZ
120,1996-04-18,0.54,0.53,0.010000000000000009,VZ
119,1996-07-18,0.56,0.55,0.010000000000000009,VZ
118,1996-10-17,0.55,0.55,0.0,VZ
117,1997-01-21,0.49,0.49,0.0,VZ
116,1997-04-17,0.59,0.58,0.010000000000000009,VZ
115,1997-07-22,0.59,0.58,0.010000000000000009,VZ
114,1997-10-22,0.63,0.62,0.010000000000000009,VZ
113,1998-01-21,0.62,0.63,-0.010000000000000009,VZ
112,1998-04-23,0.66,0.66,0.0,VZ
111,1998-07-23,0.68,0.68,0.0,VZ
110,1998-10-21,0.69,0.68,0.009999999999999898,VZ
109,1999-01-27,0.69,0.69,0.0,VZ
108,1999-04-22,0.72,0.73,-0.010000000000000009,VZ
107,1999-07-21,0.74,0.75,-0.010000000000000009,VZ
106,1999-10-20,0.76,0.76,0.0,VZ
105,2000-01-24,0.77,0.77,0.0,VZ
104,2000-04-25,0.8,0.8,0.0,VZ
103,2000-08-08,0.81,0.81,0.0,VZ
102,2000-10-30,0.73,0.84,-0.10999999999999999,VZ
101,2001-02-01,0.77,0.77,0.0,VZ
100,2001-04-24,0.72,0.7,0.020000000000000018,VZ
99,2001-07-31,0.77,0.76,0.010000000000000009,VZ
98,2001-10-30,0.75,0.77,-0.020000000000000018,VZ
97,2002-01-31,0.77,0.77,0.0,VZ
96,2002-04-23,0.72,0.72,0.0,VZ
95,2002-07-31,0.77,0.77,0.0,VZ
94,2002-10-25,0.77,0.77,0.0,VZ
93,2003-01-29,0.79,0.79,0.0,VZ
92,2003-04-22,0.68,0.63,0.050000000000000044,VZ
91,2003-07-29,0.69,0.68,0.009999999999999898,VZ
90,2003-10-28,0.67,0.63,0.040000000000000036,VZ
89,2004-01-29,0.58,0.56,0.019999999999999907,VZ
88,2004-04-27,0.58,0.58,0.0,VZ
87,2004-07-27,0.64,0.6,0.040000000000000036,VZ
86,2004-10-28,0.65,0.64,0.010000000000000009,VZ
85,2005-01-27,0.64,0.64,0.0,VZ
84,2005-04-27,0.63,0.6,0.030000000000000027,VZ
83,2005-07-26,0.63,0.64,-0.010000000000000009,VZ
82,2005-10-27,0.66,0.64,0.020000000000000018,VZ
81,2006-01-26,0.64,0.64,0.0,VZ
80,2006-05-02,0.6,0.59,0.010000000000000009,VZ
